log	CALCULATING_CONTRIBUTIONS	COMPUTE_MINIMAL_TRACE	COUNT	EXECUTE	GENERATE_VADCOP_FINAL_COMPRESSED_PROOF	GENERATE_VADCOP_FINAL_PROOF	GENERATING_INNER_PROOFS	INITIALIZING_PROOFMAN	INIT_PROOFMAN	LOADING_FIXED_POLS	PLAN_MAIN	PLAN_SECONDARY	PROOF_GENERATED	REGENERATING_CONST_TREE	REGENERATING_VADCOP_CONST_POLS	REGENERATING_VADCOP_CONST_TREE	WAIT_ASM_RH	WAIT_PLAN_MEM_CPP
conc_solo_0.log	1.329	1.046	0.150	1.074		0.283	9.743	6.684	0.000	1.159	0.000	0.010	12.463				0.000	0.000
conc_solo_1.log	1.498	1.079	0.130	1.102		0.277	9.597	6.665	0.000	1.178	0.000	0.005	12.506				0.000	0.000
p2_a.log	3.323	1.438	0.314	1.627		0.502	20.966	7.227	0.000	1.282	0.000	0.095	26.452				0.000	0.000
p2_b.log	2.323	1.279	0.138	1.325		0.404	16.920	11.755	0.000	1.492	0.000	0.018	21.009				0.000	0.000
p2_solo.log	2.213	2.150	0.208	2.178		0.307	10.661	7.536	0.000	1.213	0.000	0.008	15.433				0.000	0.000
pair_a.log	1.375	1.051	0.135	1.073		0.284	21.697	16.100	0.000	3.296	0.001	0.005	24.463				0.000	0.000
prove_a125000_0.log	7.615	6.361	0.451	8.832		0.286	44.800	6.785	0.000	1.167	0.000	2.438	61.566				0.000	0.000
prove_a125000_1.log	7.365	6.345	0.486	8.806		0.292	44.829	6.877	0.000	1.147	0.000	2.415	61.325				0.000	0.000
prove_a125000_2.log	6.328	7.158	0.566	9.600		0.297	43.608	7.286	0.000	1.256	0.000	2.401	59.875				0.000	0.000
prove_a16384_0.log	1.579	1.110	0.179	1.439		0.276	11.937	7.701	0.000	1.323	0.000	0.305	15.268				0.000	0.000
prove_a16384_1.log	1.587	1.084	0.192	1.391		0.271	10.452	6.898	0.000	1.124	0.000	0.284	13.729				0.000	0.000
prove_a16384_2.log	1.584	1.079	0.187	1.404		0.279	10.372	6.808	0.000	1.178	0.000	0.303	13.681				0.000	0.000
prove_a308000_0.log	16.784	16.280	1.775	22.757		0.291	100.526	7.390	0.000	1.242	0.000	6.393	140.464				0.000	0.000
prove_a308000_1.log	20.958	14.840	1.292	20.934		0.291	99.931	6.573	0.000	1.137	0.000	5.999	142.149				0.000	0.000
prove_a308000_2.log	19.370	15.372	1.736	22.629		0.284	101.586	6.828	0.000	1.177	0.000	7.161	143.896				0.000	0.000
prove_a4096_0.log	1.217	0.490	0.131	0.601		0.281	7.118	7.522	0.000	1.300	0.000	0.095	9.257				0.000	0.000
prove_a4096_1.log	1.077	0.476	0.121	0.596		0.290	6.864	7.851	0.000	1.358	0.000	0.103	8.857				0.000	0.000
prove_a4096_2.log	1.100	0.554	0.129	0.656		0.291	6.650	7.771	0.000	1.300	0.000	0.085	8.729				0.000	0.000
prove_a512_0.log	1.029	0.286	0.045	0.322		0.275	13.724	7.580	0.000	1.356	0.000	0.015	15.393				0.000	0.000
prove_a512_1.log	1.043	0.288	0.058	0.315		0.298	6.264	7.939	0.000	1.345	0.000	0.010	7.959				0.000	0.000
prove_a512_2.log	1.080	0.285	0.050	0.307		0.277	6.584	6.892	0.000	1.165	0.000	0.008	8.281				0.000	0.000
prove_a65536_0.log	4.045	3.534	0.322	4.915		0.282	26.017	6.798	0.000	1.227	0.000	1.355	35.293				0.000	0.000
prove_a65536_1.log	3.827	3.579	0.316	5.066		0.280	24.573	7.060	0.000	1.225	0.000	1.455	33.776				0.000	0.000
prove_a65536_2.log	4.020	3.512	0.322	4.964		0.281	24.751	6.688	0.000	1.177	0.000	1.429	34.045				0.000	0.000
prove_bench_1000000_1.log	4.858	3.934	0.214	3.966		0.290	32.994	7.396	0.000	1.150	0.000	0.013	42.141				0.000	0.000
prove_bench_1000000_2.log	4.762	3.919	0.213	3.949		0.263	32.871	6.874	0.000	1.108	0.000	0.010	41.871				0.000	0.000
prove_bench_1000000_3.log	4.919	4.015	0.218	4.047		0.285	33.038	6.903	0.000	1.137	0.000	0.013	42.317				0.000	0.000
prove_bench_100000_1.log	1.024	0.602	0.128	0.638		0.279	6.485	6.987	0.000	1.105	0.000	0.006	8.457				0.000	0.000
prove_bench_100000_2.log	1.157	0.610	0.129	0.651		0.286	6.767	6.956	0.000	1.145	0.000	0.010	8.892				0.000	0.000
prove_bench_100000_3.log	1.096	0.639	0.165	0.680		0.331	6.820	7.222	0.000	1.141	0.000	0.010	8.963				0.000	0.000
prove_bench_10000_1.log	0.755	0.135	0.063	0.171		0.299	4.211	11.797	0.000	1.202	0.000	0.005	5.465				0.000	0.000
prove_bench_10000_2.log	0.911	0.152	0.070	0.180		0.292	4.479	6.946	0.000	1.264	0.000	0.008	5.899				0.000	0.000
prove_bench_10000_3.log	0.775	0.147	0.064	0.170		0.287	4.141	7.955	0.000	1.865	0.000	0.006	5.402				0.000	0.000
prove_bench_110000_1.log	0.946	0.629	0.131	0.668		0.253	6.706	7.650	0.000	1.458	0.000	0.006	8.606				0.000	0.000
prove_bench_110000_2.log	1.100	0.669	0.134	0.706		0.270	6.616	7.832	0.000	1.749	0.000	0.008	8.734				0.000	0.000
prove_bench_110000_3.log	0.924	0.682	0.131	0.722		0.289	6.835	8.239	0.000	1.768	0.000	0.008	8.804				0.000	0.000
prove_bench_125000_1.log	1.154	0.738	0.130	0.780		0.291	7.221	7.431	0.000	1.253	0.000	0.008	9.480				0.000	0.000
prove_bench_125000_2.log	1.084	0.693	0.138	0.733		0.273	7.312	7.295	0.000	1.237	0.000	0.010	9.440				0.000	0.000
prove_bench_125000_3.log	1.130	0.697	0.138	0.737		0.288	7.085	8.194	0.000	1.783	0.000	0.007	9.276				0.000	0.000
prove_bench_140000_1.log	1.032	0.762	0.131	0.801		0.412	7.659	8.391	0.000	2.076	0.000	0.007	9.935				0.000	0.000
prove_bench_140000_2.log	1.044	0.840	0.194	0.878		0.312	7.500	8.427	0.000	1.814	0.000	0.018	9.789				0.000	0.000
prove_bench_140000_3.log	0.957	0.899	0.150	0.942		0.294	7.684	7.994	0.000	1.346	0.000	0.007	9.911				0.000	0.000
prove_bench_160000_1.log	1.295	0.762	0.116	0.801		0.283	8.546	7.649	0.000	1.154	0.000	0.008	10.961				0.000	0.000
prove_bench_160000_2.log	1.099	0.926	0.170	0.951		0.263	8.611	6.844	0.000	1.172	0.000	0.008	10.965				0.000	0.000
prove_bench_160000_3.log	1.388	0.856	0.153	0.897		0.285	8.437	7.333	0.000	1.299	0.000	0.010	11.036				0.000	0.000
prove_bench_180000_1.log	1.086	0.918	0.134	0.942		0.284	8.787	7.338	0.000	1.439	0.000	0.007	11.162				0.000	0.000
prove_bench_180000_2.log	1.209	0.894	0.129	0.932		0.293	9.141	7.259	0.000	1.348	0.000	0.007	11.612				0.000	0.000
prove_bench_180000_3.log	1.202	1.139	0.167	1.182		0.293	8.767	7.559	0.000	1.273	0.000	0.012	11.478				0.000	0.000
prove_bench_200000_1.log	1.239	1.202	0.217	1.232		0.283	9.462	7.975	0.000	1.787	0.000	0.011	12.269				0.000	0.000
prove_bench_200000_2.log	1.202	1.214	0.161	1.257		0.293	9.630	8.235	0.000	1.769	0.000	0.012	12.416				0.000	0.000
prove_bench_200000_3.log	1.188	0.950	0.130	0.998		0.294	9.456	8.655	0.000	2.221	0.000	0.018	11.975				0.000	0.000
prove_bench_20000_1.log	0.912	0.250	0.115	0.284		0.292	4.483	7.171	0.000	1.141	0.000	0.006	6.027				0.000	0.000
prove_bench_20000_2.log	0.889	0.258	0.115	0.282		0.270	4.470	7.606	0.000	1.673	0.000	0.006	5.945				0.000	0.000
prove_bench_20000_3.log	1.036	0.264	0.116	0.293		0.290	4.388	7.038	0.000	1.172	0.000	0.008	6.045				0.000	0.000
prove_bench_220000_1.log	1.298	1.138	0.200	1.174		0.306	9.812	9.461	0.000	2.637	0.000	0.006	12.627				0.000	0.000
prove_bench_220000_2.log	1.281	1.067	0.130	1.112		0.286	9.781	7.521	0.000	1.192	0.000	0.011	12.494				0.000	0.000
prove_bench_220000_3.log	1.345	1.124	0.161	1.163		0.262	10.022	7.643	0.000	1.273	0.000	0.010	12.833				0.000	0.000
prove_bench_250000_1.log	1.429	1.825	0.178	1.854		0.286	10.977	7.651	0.000	1.356	0.000	0.008	14.617				0.000	0.000
prove_bench_250000_2.log	1.491	1.479	0.176	1.508		0.289	10.758	8.896	0.000	1.481	0.000	0.006	14.095				0.000	0.000
prove_bench_250000_3.log	1.314	1.479	0.199	1.539		0.273	10.687	8.626	0.000	1.472	0.000	0.012	13.873				0.000	0.000
prove_bench_280000_1.log	1.594	1.633	0.211	1.672		0.298	11.583	8.154	0.000	1.317	0.000	0.010	15.205				0.000	0.000
prove_bench_280000_2.log	1.466	1.741	0.177	1.775		0.286	11.786	8.147	0.000	1.331	0.000	0.005	15.358				0.000	0.000
prove_bench_280000_3.log	1.698	1.678	0.199	1.713		0.300	11.301	8.203	0.000	1.506	0.000	0.007	15.047				0.000	0.000
prove_bench_30000_1.log	0.748	0.324	0.117	0.357		0.347	4.796	7.185	0.000	1.152	0.000	0.009	6.279				0.000	0.000
prove_bench_30000_2.log	0.831	0.330	0.126	0.358		0.284	4.727	8.036	0.000	1.901	0.000	0.009	6.233				0.000	0.000
prove_bench_30000_3.log	0.877	0.330	0.130	0.358		0.278	4.732	7.108	0.000	1.213	0.000	0.008	6.300				0.000	0.000
prove_bench_310000_1.log	1.668	1.301	0.131	1.349		0.272	12.883	8.431	0.000	1.944	0.000	0.018	16.211				0.000	0.000
prove_bench_310000_2.log	1.788	1.458	0.211	1.503		0.285	12.917	7.749	0.000	1.171	0.000	0.012	16.551				0.000	0.000
prove_bench_310000_3.log	2.073	1.642	0.279	1.684		0.321	12.714	7.662	0.000	1.230	0.000	0.019	16.836				0.000	0.000
prove_bench_350000_1.log	1.655	1.583	0.178	1.614		0.319	13.384	7.510	0.000	1.253	0.000	0.009	17.034				0.000	0.000
prove_bench_350000_2.log	1.671	1.879	0.200	1.923		0.358	14.006	8.184	0.000	2.024	0.000	0.011	18.002				0.000	0.000
prove_bench_350000_3.log	2.016	1.926	0.272	1.988		0.304	13.595	7.726	0.000	1.225	0.000	0.039	17.937				0.000	0.000
prove_bench_400000_1.log	1.779	1.819	0.187	1.850		0.331	16.646	7.885	0.000	1.574	0.000	0.011	20.660				0.000	0.000
prove_bench_400000_2.log	2.150	1.773	0.179	1.806		0.331	15.355	7.436	0.000	1.195	0.000	0.012	19.705				0.000	0.000
prove_bench_400000_3.log	1.854	1.756	0.172	1.785		0.291	15.520	6.907	0.000	1.183	0.000	0.011	19.480				0.000	0.000
prove_bench_40000_1.log	0.845	0.397	0.130	0.437		0.288	5.032	7.054	0.000	1.161	0.000	0.010	6.641				0.000	0.000
prove_bench_40000_2.log	1.219	0.561	0.246	0.602		0.281	5.402	7.939	0.000	1.994	0.000	0.020	7.574				0.000	0.000
prove_bench_40000_3.log	1.042	0.286	0.109	0.315		0.289	5.507	7.257	0.000	1.167	0.000	0.010	7.183				0.000	0.000
prove_bench_440000_1.log	1.990	1.950	0.201	1.992		0.297	17.008	8.331	0.000	1.785	0.000	0.011	21.321				0.000	0.000
prove_bench_440000_2.log	2.281	2.460	0.178	2.485		0.292	17.220	7.817	0.000	1.493	0.000	0.007	22.321				0.000	0.000
prove_bench_440000_3.log	2.054	2.490	0.246	2.535		0.283	17.117	7.813	0.000	1.827	0.000	0.023	22.030				0.000	0.000
prove_bench_500000_1.log	2.114	2.372	0.205	2.419		0.350	19.315	8.832	0.000	2.076	0.000	0.024	24.243				0.000	0.000
prove_bench_500000_2.log	2.490	3.396	0.246	3.446		0.283	18.249	8.477	0.000	1.571	0.000	0.032	24.502				0.000	0.000
prove_bench_500000_3.log	2.074	2.631	0.203	2.659		0.298	18.263	8.531	0.000	1.268	0.000	0.013	23.343				0.000	0.000
prove_bench_55000_1.log	0.807	0.371	0.120	0.409		0.293	5.261	7.424	0.000	1.296	0.000	0.008	6.805				0.000	0.000
prove_bench_55000_2.log	1.049	0.624	0.250	0.679		0.333	5.742	7.144	0.000	1.207	0.000	0.022	7.862				0.000	0.000
prove_bench_55000_3.log	0.899	0.496	0.153	0.524		0.294	5.254	7.573	0.000	1.432	0.000	0.009	7.006				0.000	0.000
prove_bench_560000_1.log	2.321	2.979	0.181	3.040		0.311	20.123	8.001	0.000	1.889	0.000	0.019	25.828				0.000	0.000
