air	num_rows	nBits	cm1	cm2	cm3	total_cols	cells_if_one_instance
Main	4194304	22	38	24	6	68	285212672
Rom	4194304	22	1	9	6	16	67108864
Mem	4194304	22	13	9	6	28	117440512
InputData	2097152	21	9	14	6	29	60817408
RomData	2097152	21	5	3	6	14	29360128
MemAlign	2097152	21	29	18	6	53	111149056
MemAlignByte	4194304	22	16	12	6	34	142606336
MemAlignReadByte	4194304	22	10	9	6	25	104857600
MemAlignWriteByte	4194304	22	14	12	6	32	134217728
Arith	2097152	21	44	46	6	96	201326592
Binary	4194304	22	39	15	6	60	251658240
BinaryAdd	4194304	22	10	9	6	25	104857600
BinaryExtension	4194304	22	29	18	6	53	222298112
Add256	1048576	20	47	51	6	104	109051904
ArithEq	1048576	18	52	71	12	135	141557760
ArithEq384	1048576	18	52	71	12	135	141557760
Keccakf	131072	20	52	71	12	135	17694720
Sha256f	262144	19	52	71	12	135	35389440
Poseidon	131072	17	52	71	12	135	17694720
Blake2br	262144	18	52	71	12	135	35389440
Dma	2097152	21	34	21	6	61	127926272
DmaMemCpy	2097152	21	22	18	6	46	96468992
DmaInputCpy	2097152	21	16	18	6	40	83886080
Dma64Aligned	2097152	21	35	36	6	77	161480704
Dma64AlignedInputCpy	2097152	21	25	27	6	58	121634816
Dma64AlignedMemSet	2097152	21	14	15	6	35	73400320
Dma64AlignedMem	2097152	21	26	18	6	50	104857600
Dma64AlignedMemCpy	2097152	21	31	30	6	67	140509184
DmaUnaligned	2097152	21	24	12	6	42	88080384
DmaPrePost	2097152	18	52	71	12	135	283115520
DmaPrePostMemCpy	2097152	21	55	30	6	91	190840832
DmaPrePostInputCpy	2097152	21	32	21	6	59	123731968
VirtualTableZisk0	2097152	21	23	36	6	65	136314880
VirtualTableZisk1	2097152	21	8	15	6	29	60817408
