log	CALCULATING_CONTRIBUTIONS	COMPUTE_MINIMAL_TRACE	COUNT	EXECUTE	GENERATE_VADCOP_FINAL_COMPRESSED_PROOF	GENERATE_VADCOP_FINAL_PROOF	GENERATING_INNER_PROOFS	INITIALIZING_PROOFMAN	INIT_PROOFMAN	LOADING_FIXED_POLS	PLAN_MAIN	PLAN_SECONDARY	PROOF_GENERATED	REGENERATING_CONST_TREE	REGENERATING_VADCOP_CONST_POLS	REGENERATING_VADCOP_CONST_TREE	WAIT_ASM_RH	WAIT_PLAN_MEM_CPP
prove_bench_1000000_1.log	7.255	5.906	0.267	5.935		0.058	19.091	3.786	0.000	0.740	0.000	0.007	32.357				0.000	0.000
prove_bench_1000000_2.log	7.151	5.915	0.284	5.949		0.058	19.165	3.728	0.000	0.737	0.000	0.009	32.339				0.000	0.000
prove_bench_1000000_3.log	7.201	5.953	0.271	5.978		0.057	18.907	3.739	0.000	0.740	0.000	0.004	32.160				0.000	0.000
prove_bench_100000_1.log	0.905	0.653	0.089	0.677		0.059	3.593	3.831	0.000	0.763	0.000	0.003	5.250				0.000	0.000
prove_bench_100000_2.log	0.943	0.828	0.096	0.856		0.070	3.734	3.726	0.000	0.738	0.000	0.006	5.620				0.000	0.000
prove_bench_100000_3.log	0.900	0.656	0.089	0.683		0.058	3.627	3.721	0.000	0.737	0.000	0.005	5.284				0.000	0.000
prove_bench_10000_1.log	0.399	0.090	0.033	0.112		0.061	2.346	3.825	0.000	0.734	0.000	0.002	2.935				0.000	0.000
prove_bench_10000_2.log	0.407	0.095	0.033	0.118		0.059	2.321	3.723	0.000	0.755	0.000	0.003	2.922				0.000	0.000
prove_bench_10000_3.log	0.417	0.089	0.032	0.111		0.062	2.308	3.714	0.000	0.736	0.000	0.002	2.915				0.000	0.000
prove_bench_110000_1.log	0.956	0.711	0.089	0.736		0.061	3.758	3.724	0.000	0.738	0.000	0.004	5.526				0.000	0.000
prove_bench_110000_2.log	1.025	0.714	0.090	0.739		0.073	3.911	3.705	0.000	0.729	0.000	0.004	5.765				0.000	0.000
prove_bench_110000_3.log	0.968	0.710	0.088	0.737		0.065	3.666	3.738	0.000	0.744	0.000	0.005	5.451				0.000	0.000
prove_bench_125000_1.log	1.091	0.796	0.089	0.819		0.061	4.091	3.880	0.000	0.771	0.000	0.002	6.078				0.000	0.000
prove_bench_125000_2.log	1.072	0.794	0.088	0.821		0.059	4.060	3.746	0.000	0.739	0.000	0.006	6.028				0.000	0.000
prove_bench_125000_3.log	1.105	0.796	0.089	0.823		0.059	3.951	3.758	0.000	0.744	0.000	0.006	5.954				0.000	0.000
prove_bench_140000_1.log	1.156	0.880	0.089	0.907		0.058	4.345	3.731	0.000	0.738	0.000	0.006	6.483				0.000	0.000
prove_bench_140000_2.log	1.219	0.880	0.088	0.907		0.065	4.215	3.732	0.000	0.741	0.000	0.006	6.422				0.000	0.000
prove_bench_140000_3.log	1.171	0.882	0.089	0.907		0.063	4.220	3.734	0.000	0.739	0.000	0.004	6.377				0.000	0.000
prove_bench_160000_1.log	1.302	0.991	0.088	1.014		0.058	4.752	3.849	0.000	0.768	0.000	0.002	7.142				0.000	0.000
prove_bench_160000_2.log	1.383	1.051	0.117	1.080		0.058	4.432	3.828	0.000	0.738	0.000	0.007	6.969				0.000	0.000
prove_bench_160000_3.log	1.249	0.995	0.088	1.022		0.058	4.503	3.741	0.000	0.741	0.000	0.005	6.848				0.000	0.000
prove_bench_180000_1.log	1.463	1.108	0.088	1.133		0.059	4.963	3.759	0.000	0.739	0.000	0.004	7.633				0.000	0.000
prove_bench_180000_2.log	1.433	1.103	0.089	1.130		0.057	5.058	3.795	0.000	0.764	0.000	0.005	7.695				0.000	0.000
prove_bench_180000_3.log	1.452	1.105	0.089	1.133		0.060	5.016	3.833	0.000	0.765	0.000	0.006	7.677				0.000	0.000
prove_bench_200000_1.log	1.589	1.222	0.089	1.246		0.058	5.219	3.824	0.000	0.728	0.000	0.004	8.129				0.000	0.000
prove_bench_200000_2.log	1.555	1.217	0.088	1.245		0.059	5.149	3.874	0.000	0.749	0.000	0.006	8.024				0.000	0.000
prove_bench_200000_3.log	1.535	1.220	0.091	1.246		0.064	5.287	3.740	0.000	0.747	0.000	0.004	8.148				0.000	0.000
prove_bench_20000_1.log	0.461	0.182	0.067	0.205		0.059	2.451	3.818	0.000	0.790	0.000	0.003	3.193				0.000	0.000
prove_bench_20000_2.log	0.475	0.177	0.064	0.199		0.061	2.534	3.714	0.000	0.730	0.000	0.002	3.287				0.000	0.000
prove_bench_20000_3.log	0.421	0.175	0.063	0.198		0.065	2.538	3.663	0.000	0.726	0.000	0.002	3.238				0.000	0.000
prove_bench_220000_1.log	1.964	1.339	0.089	1.365		0.062	5.422	3.849	0.000	0.755	0.000	0.005	8.830				0.000	0.000
prove_bench_220000_2.log	1.754	1.330	0.089	1.355		0.060	5.487	3.825	0.000	0.764	0.000	0.003	8.671				0.000	0.000
prove_bench_220000_3.log	1.789	1.330	0.089	1.355		0.057	5.434	3.736	0.000	0.732	0.000	0.004	8.651				0.000	0.000
prove_bench_250000_1.log	1.984	1.497	0.090	1.522		0.057	6.118	3.741	0.000	0.746	0.000	0.004	9.696				0.000	0.000
prove_bench_250000_2.log	1.963	1.499	0.088	1.523		0.058	6.049	3.843	0.000	0.748	0.000	0.004	9.610				0.000	0.000
prove_bench_250000_3.log	2.060	1.501	0.093	1.526		0.062	6.029	3.768	0.000	0.738	0.000	0.004	9.694				0.000	0.000
prove_bench_280000_1.log	2.138	1.669	0.093	1.694		0.057	6.688	3.710	0.000	0.734	0.000	0.004	10.594				0.000	0.000
prove_bench_280000_2.log	2.108	1.666	0.089	1.691		0.057	6.681	3.844	0.000	0.762	0.000	0.004	10.553				0.000	0.000
prove_bench_280000_3.log	2.091	1.675	0.091	1.700		0.065	6.472	3.847	0.000	0.767	0.000	0.003	10.344				0.000	0.000
prove_bench_30000_1.log	0.506	0.257	0.087	0.279		0.059	2.752	3.844	0.000	0.779	0.000	0.002	3.613				0.000	0.000
prove_bench_30000_2.log	0.465	0.253	0.085	0.276		0.063	2.698	3.700	0.000	0.737	0.000	0.002	3.518				0.000	0.000
prove_bench_30000_3.log	0.522	0.259	0.086	0.282		0.062	2.609	3.796	0.000	0.762	0.000	0.003	3.491				0.000	0.000
prove_bench_310000_1.log	2.327	1.834	0.088	1.859		0.058	7.146	3.760	0.000	0.737	0.000	0.003	11.406				0.000	0.000
prove_bench_310000_2.log	2.365	1.845	0.095	1.867		0.057	7.161	3.907	0.000	0.855	0.000	0.002	11.467				0.000	0.000
prove_bench_310000_3.log	2.347	1.846	0.092	1.872		0.058	7.260	3.771	0.000	0.762	0.000	0.004	11.554				0.000	0.000
prove_bench_350000_1.log	2.614	2.089	0.117	2.115		0.065	7.633	3.845	0.000	0.737	0.000	0.004	12.443				0.000	0.000
prove_bench_350000_2.log	2.543	2.091	0.119	2.117		0.058	7.684	3.708	0.000	0.738	0.000	0.005	12.418				0.000	0.000
prove_bench_350000_3.log	2.616	2.094	0.124	2.120		0.058	7.785	3.854	0.000	0.764	0.000	0.005	12.597				0.000	0.000
prove_bench_400000_1.log	2.942	2.433	0.176	2.459		0.058	8.605	3.795	0.000	0.765	0.000	0.004	14.081				0.000	0.000
prove_bench_400000_2.log	2.884	2.435	0.175	2.461		0.059	8.393	3.840	0.000	0.765	0.000	0.005	13.813				0.000	0.000
prove_bench_400000_3.log	3.061	2.432	0.174	2.458		0.061	8.477	3.741	0.000	0.738	0.000	0.004	14.072				0.000	0.000
prove_bench_40000_1.log	0.482	0.310	0.085	0.332		0.058	2.711	3.819	0.000	0.764	0.000	0.002	3.600				0.000	0.000
prove_bench_40000_2.log	0.506	0.312	0.086	0.335		0.058	2.782	3.811	0.000	0.753	0.000	0.003	3.698				0.000	0.000
prove_bench_40000_3.log	0.538	0.313	0.086	0.336		0.057	2.878	3.858	0.000	0.763	0.000	0.002	3.825				0.000	0.000
prove_bench_440000_1.log	3.247	2.660	0.176	2.694		0.063	9.471	3.859	0.000	0.768	0.000	0.010	15.491				0.000	0.000
prove_bench_440000_2.log	3.411	2.664	0.177	2.691		0.058	9.350	3.717	0.000	0.734	0.000	0.006	15.527				0.000	0.000
prove_bench_440000_3.log	3.355	2.652	0.176	2.677		0.058	9.419	3.857	0.000	0.766	0.000	0.004	15.526				0.000	0.000
prove_bench_500000_1.log	3.880	3.001	0.181	3.028		0.058	10.524	3.838	0.000	0.764	0.000	0.005	17.507				0.000	0.000
prove_bench_500000_2.log	3.690	2.995	0.176	3.029		0.061	10.366	3.727	0.000	0.737	0.000	0.011	17.162				0.000	0.000
prove_bench_500000_3.log	3.603	3.000	0.178	3.024		0.059	10.377	3.721	0.000	0.739	0.000	0.003	17.079				0.000	0.000
prove_bench_55000_1.log	0.622	0.397	0.087	0.420		0.059	2.958	3.819	0.000	0.762	0.000	0.002	4.074				0.000	0.000
prove_bench_55000_2.log	0.684	0.398	0.088	0.420		0.063	2.920	3.845	0.000	0.767	0.000	0.002	4.103				0.000	0.000
prove_bench_55000_3.log	0.662	0.397	0.088	0.422		0.058	2.867	3.824	0.000	0.764	0.000	0.004	4.025				0.000	0.000
prove_bench_560000_1.log	4.403	3.342	0.182	3.370		0.059	11.361	3.718	0.000	0.744	0.000	0.006	19.210				0.000	0.000
prove_bench_560000_2.log	4.221	3.332	0.177	3.358		0.060	11.334	3.717	0.000	0.742	0.000	0.005	18.989				0.000	0.000
prove_bench_560000_3.log	4.164	3.335	0.177	3.361		0.058	11.397	3.735	0.000	0.737	0.000	0.004	18.997				0.000	0.000
prove_bench_620000_1.log	4.818	3.678	0.182	3.704		0.061	12.287	3.731	0.000	0.736	0.000	0.004	20.886				0.000	0.000
prove_bench_620000_2.log	4.709	3.679	0.178	3.705		0.060	12.545	3.857	0.000	0.765	0.000	0.004	21.035				0.000	0.000
prove_bench_620000_3.log	4.589	3.686	0.185	3.716		0.067	12.270	3.733	0.000	0.739	0.000	0.008	20.659				0.000	0.000
prove_bench_660000_1.log	4.917	3.899	0.179	3.924		0.058	13.196	3.743	0.000	0.736	0.000	0.004	22.110				0.000	0.000
prove_bench_660000_2.log	4.954	3.913	0.187	3.941		0.057	12.994	3.723	0.000	0.739	0.000	0.006	21.962				0.000	0.000
prove_bench_660000_3.log	4.785	3.912	0.189	3.937		0.058	12.905	3.855	0.000	0.760	0.000	0.004	21.701				0.000	0.000
prove_bench_70000_1.log	0.701	0.482	0.087	0.505		0.058	3.187	3.830	0.000	0.763	0.000	0.002	4.467				0.000	0.000
prove_bench_70000_2.log	0.708	0.484	0.087	0.507		0.060	3.264	3.713	0.000	0.737	0.000	0.003	4.555				0.000	0.000
prove_bench_70000_3.log	0.705	0.483	0.088	0.507		0.066	3.192	3.848	0.000	0.762	0.000	0.003	4.485				0.000	0.000
prove_bench_720000_1.log	5.226	4.327	0.264	4.356		0.058	13.872	3.827	0.000	0.764	0.000	0.006	23.529				0.000	0.000
prove_bench_720000_2.log	5.267	4.322	0.262	4.347		0.057	13.853	3.728	0.000	0.738	0.000	0.004	23.541				0.000	0.000
