air	num_rows	nBits	cm1	cm2	cm3	total_cols	cells_if_one_instance
Keccakf	262144	18	2137	880	6	3023	792461312
Main	4194304	22	38	24	6	68	285212672
Binary	4194304	22	39	15	6	60	251658240
BinaryExtensionFull	4194304	22	34	18	6	58	243269632
BinaryExtension	4194304	22	28	18	6	52	218103808
DmaPrePost	2097152	21	66	32	6	104	218103808
Arith	2097152	21	45	46	6	97	203423744
DmaPrePostMemCpy	2097152	21	55	30	6	91	190840832
Dma64Aligned	2097152	21	35	36	6	77	161480704
BinaryAddHi	4194304	22	15	15	6	36	150994944
MemAlignByte	4194304	22	16	12	6	34	142606336
Dma64AlignedMemCpy	2097152	21	31	30	6	67	140509184
VirtualTableZisk1	2097152	21	22	36	6	64	134217728
MemAlignWriteByte	4194304	22	14	12	6	32	134217728
JumpDest	2097152	21	32	25	6	63	132120576
Dma	2097152	21	34	21	6	61	127926272
DmaPrePostInputCpy	2097152	21	32	21	6	59	123731968
Dma64AlignedInputCpy	2097152	21	25	27	6	58	121634816
Mem	4194304	22	13	9	6	28	117440512
Add256	1048576	20	47	51	6	104	109051904
BinaryAdd	4194304	22	10	9	6	25	104857600
MemAlignReadByte	4194304	22	10	9	6	25	104857600
MemAlign	2097152	21	32	12	6	50	104857600
Dma64AlignedMem	2097152	21	26	18	6	50	104857600
DmaMemCpy	2097152	21	22	18	6	46	96468992
ArithEq	1048576	20	45	39	6	90	94371840
DmaUnaligned	2097152	21	24	12	6	42	88080384
DmaInputCpy	2097152	21	16	18	6	40	83886080
ArithEq384	1048576	20	35	39	6	80	83886080
VirtualTableZisk0	2097152	21	12	21	6	39	81788928
ArithSecp256K1	1048576	20	27	39	6	72	75497472
ArithBn254Ec	1048576	20	27	39	6	72	75497472
Dma64AlignedMemSet	2097152	21	14	15	6	35	73400320
ArithBn254Complex	1048576	20	24	35	6	65	68157440
Rom	4194304	22	1	9	6	16	67108864
Blake2br	262144	18	119	109	6	234	61341696
InputData	2097152	21	9	14	6	29	60817408
Arith256X	1048576	20	19	29	6	54	56623104
Poseidon	131072	17	84	302	6	392	51380224
Arith256	1048576	20	11	23	6	40	41943040
Sha256f	262144	18	102	14	6	122	31981568
RomData	2097152	21	5	3	6	14	29360128
